x ,	 y,	 Radius,	 Threshold 
139 , 150 , 80 , 0.54
242 , 145 , 80 , 0.53
195 , 238 , 80 , 0.52
239 , 145 , 79 , 0.45
191 , 244 , 76 , 0.44
138 , 149 , 79 , 0.43
135 , 149 , 78 , 0.43
238 , 149 , 77 , 0.43
192 , 238 , 79 , 0.43
191 , 239 , 78 , 0.43
191 , 242 , 77 , 0.43
190 , 241 , 76 , 0.43
241 , 144 , 79 , 0.42
238 , 144 , 78 , 0.42
135 , 151 , 78 , 0.42
237 , 148 , 76 , 0.42
194 , 237 , 79 , 0.42
191 , 237 , 78 , 0.42
240 , 146 , 80 , 0.41
141 , 150 , 82 , 0.41
137 , 149 , 80 , 0.41
136 , 150 , 79 , 0.41
138 , 151 , 79 , 0.41
238 , 151 , 76 , 0.41
238 , 150 , 74 , 0.41
134 , 153 , 76 , 0.41
188 , 176 , 20 , 0.41
194 , 237 , 81 , 0.41
187 , 238 , 80 , 0.41
192 , 241 , 76 , 0.41
191 , 243 , 74 , 0.41
244 , 145 , 82 , 0.4
238 , 142 , 78 , 0.4
240 , 144 , 80 , 0.4
241 , 146 , 81 , 0.4
138 , 149 , 81 , 0.4
135 , 147 , 78 , 0.4
138 , 150 , 80 , 0.4
138 , 151 , 81 , 0.4
137 , 150 , 79 , 0.4
238 , 146 , 78 , 0.4
239 , 148 , 76 , 0.4
135 , 154 , 77 , 0.4
134 , 154 , 76 , 0.4
135 , 156 , 76 , 0.4
136 , 153 , 76 , 0.4
197 , 238 , 82 , 0.4
193 , 237 , 80 , 0.4
193 , 238 , 79 , 0.4
194 , 239 , 79 , 0.4
135 , 155 , 74 , 0.4
190 , 242 , 76 , 0.4
