x ,	 y,	 Radius,	 Threshold 
217 , 320 , 37 , 0.67
100 , 290 , 33 , 0.62
100 , 289 , 21 , 0.62
218 , 320 , 37 , 0.6
280 , 146 , 32 , 0.59
284 , 303 , 50 , 0.59
174 , 176 , 51 , 0.58
217 , 322 , 35 , 0.57
204 , 322 , 13 , 0.56
99 , 290 , 32 , 0.55
173 , 176 , 51 , 0.54
217 , 321 , 36 , 0.54
218 , 322 , 35 , 0.54
280 , 147 , 31 , 0.53
285 , 303 , 50 , 0.53
200 , 322 , 13 , 0.53
201 , 321 , 12 , 0.52
203 , 322 , 13 , 0.52
397 , 93 , 50 , 0.51
98 , 290 , 32 , 0.51
100 , 290 , 21 , 0.51
205 , 320 , 15 , 0.51
202 , 321 , 12 , 0.51
174 , 175 , 52 , 0.5
281 , 301 , 47 , 0.5
219 , 321 , 36 , 0.5
218 , 319 , 38 , 0.5
279 , 147 , 32 , 0.49
172 , 175 , 50 , 0.49
217 , 319 , 37 , 0.49
100 , 288 , 22 , 0.49
202 , 320 , 13 , 0.49
204 , 321 , 14 , 0.49
210 , 311 , 26 , 0.48
211 , 312 , 25 , 0.48
196 , 303 , 10 , 0.48
411 , 361 , 13 , 0.48
398 , 92 , 51 , 0.47
398 , 93 , 51 , 0.47
99 , 289 , 20 , 0.47
99 , 290 , 20 , 0.47
216 , 320 , 36 , 0.47
218 , 321 , 36 , 0.47
205 , 309 , 21 , 0.47
250 , 310 , 10 , 0.47
202 , 323 , 14 , 0.47
199 , 322 , 12 , 0.47
410 , 360 , 12 , 0.47
394 , 91 , 47 , 0.46
398 , 92 , 48 , 0.46
280 , 147 , 32 , 0.46
281 , 145 , 19 , 0.46
283 , 302 , 49 , 0.46
282 , 302 , 48 , 0.46
210 , 310 , 25 , 0.46
196 , 302 , 10 , 0.46
197 , 302 , 10 , 0.46
204 , 319 , 14 , 0.46
201 , 323 , 14 , 0.46
411 , 360 , 12 , 0.46
433 , 366 , 12 , 0.46
433 , 367 , 12 , 0.46
396 , 94 , 49 , 0.45
175 , 175 , 52 , 0.45
283 , 304 , 50 , 0.45
285 , 302 , 51 , 0.45
209 , 310 , 25 , 0.45
215 , 320 , 35 , 0.45
216 , 321 , 36 , 0.45
