x ,	 y,	 Radius,	 Threshold 
217 , 320 , 37 , 0.67
100 , 290 , 33 , 0.62
100 , 289 , 21 , 0.62
280 , 146 , 32 , 0.59
284 , 303 , 50 , 0.59
174 , 176 , 51 , 0.58
204 , 322 , 13 , 0.56
397 , 93 , 50 , 0.51
210 , 311 , 26 , 0.48
196 , 303 , 10 , 0.48
411 , 361 , 13 , 0.48
250 , 310 , 10 , 0.47
281 , 145 , 19 , 0.46
433 , 366 , 12 , 0.46
202 , 297 , 10 , 0.44
204 , 313 , 22 , 0.43
191 , 324 , 11 , 0.43
311 , 323 , 10 , 0.43
282 , 338 , 10 , 0.43
420 , 371 , 11 , 0.43
244 , 299 , 10 , 0.42
408 , 342 , 37 , 0.42
233 , 326 , 10 , 0.42
274 , 339 , 11 , 0.42
258 , 52 , 40 , 0.41
245 , 289 , 10 , 0.41
248 , 318 , 14 , 0.41
197 , 321 , 11 , 0.41
199 , 340 , 10 , 0.41
204 , 306 , 18 , 0.4
307 , 312 , 10 , 0.4
201 , 328 , 19 , 0.4
302 , 321 , 10 , 0.4
256 , 330 , 11 , 0.4
406 , 370 , 12 , 0.4
